Public Water System Name,Sample Site ID (incudes public water system number),School Name,Location Description,Sample Date,Lead Result Modifier,Lead Result,"Units 
(UG/L=micrograms/liter)"
VALLECITOS WD,3710002-AAE-A,San Elijo Elementary,600 DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAE-B,San Elijo Elementary,Kitchen,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAE-C,San Elijo Elementary,KOC DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAE-D,San Elijo Elementary,400 DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAE-E,San Elijo Elementary,Playground DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAF-A,San Elijo Middle,Kitchen,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAF-B,San Elijo Middle,800 DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAF-C,San Elijo Middle,700 DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAF-D,San Elijo Middle,500 DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAF-E,San Elijo Middle,300 DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAG-A,La Costa Meadows Elementary,Kitchen,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAG-B,La Costa Meadows Elementary,Lower Playground DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAG-C,La Costa Meadows Elementary,Kinder Playground DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAG-D,La Costa Meadows Elementary,Kindergarten DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAG-E,La Costa Meadows Elementary,Playground DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAH-A,Twin Oaks High,Kitchen,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAH-B,Twin Oaks High,Courtyard DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAH-C,Twin Oaks High,Wood Shop DF,3/14/2017, ,31,UG/L
VALLECITOS WD,3710002-AAH-D,Twin Oaks High,Basketball DF,3/14/2017, ,15,UG/L
VALLECITOS WD,3710002-AAI-A,Twin Oaks Elementary,Kitchen,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAI-B,Twin Oaks Elementary,Playground DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAI-C,Twin Oaks Elementary,Electrical Room DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAI-D,Twin Oaks Elementary,Library DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAI-E,Twin Oaks Elementary,Kindergarten DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-AAJ-A,Mission Hills High,Kitchen,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAJ-B,Mission Hills High,Room 530 DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAJ-C,Mission Hills High,Room 160 DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAJ-D,Mission Hills High,Gym DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-AAJ-E,Mission Hills High,Soccer Field DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABA-A,High Tech High North County,1st Floor DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABA-B,High Tech High North County,Outdoor DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABB-A,High Tech Middle North County,1st Floor DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABC-A,High Tech Elementary North County,Exterior DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABC-B,High Tech Elementary North County,Interior DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABD-A,Rock Springs Elementary,Kindergarten DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABD-B,Rock Springs Elementary,Library DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABD-C,Rock Springs Elementary,Track DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABD-D,Rock Springs Elementary,Building B DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABD-E,Rock Springs Elementary,Food Prep Middle Sink,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABE-A,Double Peak K8 School,Gym DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABE-B,Double Peak K8 School,Kitchen,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABE-C,Double Peak K8 School,Admin DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABE-D,Double Peak K8 School,Library DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABE-E,Double Peak K8 School,Kindergarten DF,3/14/2017,<,5,UG/L
VALLECITOS WD,3710002-ABF-A,Discovery Elementary,Kitchen,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABF-B,Discovery Elementary,Black Top #1 DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABF-C,Discovery Elementary,Black Top #2 DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABF-D,Discovery Elementary,Library DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABF-E,Discovery Elementary,Kindergarten DF,3/15/2017,<,5,UG/L
VALLECITOS WD,3710002-ABG-A,San Marcos Elementary,Kitchen,3/21/2017,<,5,UG/L
VALLECITOS WD,3710002-ABG-B,San Marcos Elementary,500 Playground DF,3/21/2017,<,5,UG/L
VALLECITOS WD,3710002-ABG-C,San Marcos Elementary,Lunch Area DF,3/21/2017,<,5,UG/L
VALLECITOS WD,3710002-ABG-D,San Marcos Elementary,300 Playground DF,3/21/2017,<,5,UG/L
VALLECITOS WD,3710002-ABH-A,San Marcos High,Kitchen,3/21/2017,<,5,UG/L
